,0
198,"Живи, братуха, и не думай, что кто-то про тебя забыл. Друзья не забывают друга, а кто забыл, тот не был им."
199,"Прощать не сложно, сложно заново поверить."
200,"Мы стали теми, от кого родители просили держаться подальше."
201,"Сука, если я терплю, не означает, что мне не больно."
202,Берегите своих родителей… Они искренне за вас беспокоятся..
203,"Пацаны, а у вас тоже такое было, когда стоишь молча, смотришь на нее и делаешь вид, что все равно, а сердце ебашит изнутри?"
204,"Счастье – это когда Бога благодаришь чаще, чем просишь."
205,"Мама учит быть добрым, папа учит быть гордым. А брат ничему не учит, просто сказал: «Обидят, порву!»"
206,"Красивая — это когда красивая, а не когда грудь вываливается и трусы видно."
207,Порой просто хочется побыть одному.
208,"Привык к этому району, к этим его дворам, к этим по любому порядочным пацанам, к тем – кто руку крепко жмет, к тем – кто за брата убьёт…"
209,"Мало у кого есть такой друг, которому можно рассказать все. Излить душу до последней капли и быть уверенным, что это не коснется чужих ушей."
210,"Сотни синяков и ссадин, растяжений и вывихов, тысячи тренировочных часов, миллионы капель пролитого пота лишь для того, чтобы стать еще лучше."
211,"Не нужно косить, под гламурных куриц, парни любят нежных, парни любят умниц."
212,"Никогда не делай выводов о человеке, пока не узнаешь истинные причины его поступков."
213,"Не уважаю пацанов, у которых каждая следующая – «любимая»."
214,"Неважно кто и что говорит за твоей спиной. Важно то,что когда ты обернешься все будут молчать."
215,"Думай своей головой, делай как знаешь, всегда. Не прогибайся под общественное мнение."
216,"Мы не шуты, мы не артисты, мы пацаны, мы хоккеисты!"
217,"Спасибо матери с отцом, что я родился ПАЦАНОМ!"
218,Раньше было легче. Раньше было детство.
219,"Всегда помни, когда идёшь на стрелку с кентами своими, что дома тебя ждёт она."
220,"Живите так, что бы дома гордились,"
221,"девушки любили, пацаны ценили."
222,"Берегите друг друга. Не ломайте то, что другие не могут даже построить."
223,"Знаете, самые длинные и увлекательные путешествия вместе с друзьями начинаются обычно со слов: «Пацаны! Стойте! Я знаю короткую дорогу…»"
224,"Тот, кто молчит, знает в два раза больше, чем тот кто говорит…"
225,"В моём детстве не было мобильных телефонов, но я всегда знал, где мои друзья."
226,Ищите девушку? Ищите деньги! Девушка вас сама найдёт.
227,Бей сильно. Уходи гордо. Не говори о себе громко. Пусть другие о тебе скажут тихо.
228,"От души, душевно, в душу…"
229,"Вспоминаю некоторые свои выходки, так стыдно пиздец."
230,"Есть такая любовь, от которой след в душе остаётся на всю жизнь…"
231,"Хорошо смеется тот, кто глубоко затягивается."
232,Счастье — это когда в доме нет больных. В тюрьме —нет родных. Среди друзей —нет гнилых…
233,"Мы бьем сильно, а жизнь бьет сильнее, чем надо."
234,Наши девушки — самые красивые девушки в мире..
235,"Люби ту, которая с тобой, ибо знай, что та, которая далеко, наверное, тебе не верна."
236,"Живу бедно… сыр с плесенью, вино старое, машина без крыши и телефон без кнопок…"
237,"Пройдёт время и жизнь покажет, что всё было только к лучшему."
238,"Держитесь друг за друга, брат за брата и будет все!"
239,"Запомни, ни когда не прощай врага, он как был врагом, так им и останется."
240,"Победит не тот, кто сильнее, а тот, кто готов идти до конца."
241,Секс с деловой женщиной: — Можно? — Войдите!
242,"Главное верить в себя, и все получится."
243,"А ты вспомни, братан, какими раньше мы были. Как росли, продвигались и впервые полюбили!"
244,"Девушки хватит тащится от гламурных педиков, тащитесь от спортивных пацанов, которые могут постоять за вас."
245,"Те, кто поддержал меня, когда я падал, теперь держитесь, мы взлетаем!"
246,Если соседка часто заходит за солью — значит ее интересует ваш перец…
247,"Хватит ныть. Да, это жизнь. Каждый сам за себя. Или ты или тебя."
248,"Лучше быть последним среди волков, чем первым среди шакалов!"
249,"Она хамила так, как будто у нее в кармане лежала запасная челюсть"
250,"Чужого не надо, а вот за свое я буду ебашить."
251,"Упрекай друга наедине, хвали – публично."
252,"Живите так, чтобы дома гордились, девушки любили, пацаны ценили."
253,"Мудрецу даны знания, мужику умения, пацану — понятия.©"
254,"Предела не бывает! Нужно всегда стремится к лучшему, при этом не оборачиваться назад и не останавливаться!"
255,"Своя компания — это компания, в которой можно не думать, когда говоришь."
256,Я бы весь вагон мужского пола отпиздил за то что они деду место не уступили!!!
257,"Бывают ситуации, когда ты можешь надеяться только на себя.."
258,"Крутые статусы для пацанов — Пацаны, не ищите » Ту самую » по клубам и барам. Та самая ночами спит дома."
259,"Берегите близких, однажды вы поймете, как тяжело терять тех, кого любишь."
260,"Меня называют идиотом, когда я делаю то, на что у них не хватает духа."
261,"Да кто бы ты там ни был, какая бы там ситуация ни была — отвечай за свои слова всегда."
262,"Мы пацаны тоже можем быть добрыми и мягкими, только для этого нам нужна та, которая будет это ценить!"
263,"«Не тот силён, кто не упал, а тот кто падал…но вставал»"
264,"Не беда, если нет друзей, беда если они фальшивые и продажные."
265,"Кровь – это не то, что течёт в твоих жилах. Это то, что брат отдаст за брата!"
266,"Запомни эту простую фразу, всё будет, но не сразу."
267,"У каждого свой смысл жизни, мой — еще не родился."
268,"Сердце пацана очень жестокое снаружи, но очень любящее внутри."
269,"Все говорят : Изменись, и все за тобой потянуться. А я лучше останусь собой, и посмотрю, кто со мной останется!"
270,"Брат, запомни! Я встану за тебя, даже если ты не прав…"
271,"И пока мое сердце будет биться, я буду гордится местом, где было суждено родиться!"
272,"Секрет моих счастливых отношений в том, что их нет."
273,"Враги под нами, бог над нами, живем веками, ведь рождены пацанами."
274,"Мы поступаем так, как поступили с нами."
275,"Братан, ты набери, приеду помогу, чем смогу."
276,"В голове каша и не ясно что дальше, вроде всё нормально, но уже не так как раньше .."
277,"Главное идти вперед и не стать п*скудой, в этом мире никто не поймёт, но каждый осудит…"
278,"Настоящий пацан садится на колени в трёх случаях: поднимая раненного друга, целуя руку матери и срывая цветы для любимой девушки!"
279,"Кто может, тот делает. Кто не может, тот критикует."
280,"Цени человека не за внешность, а за отношение к тебе."
281,"Пусть цитаты не делают нас умней, но некоторые из них заставляют задуматься о чем-то."
282,"Перед пацанами базар держи, Перед другом – слово, Родителей и девушку люби И храни веру перед Богом!"
283,"Меня знают многие, но лишь единицы знают, какой я на самом деле…."
284,"Не забывай о людях, с которыми есть, что вспомнить."
285,"Упал – встань, а встал – иди."
286,Не бойся когда ты один — бойся когда ты ноль.
287,"Запомни, никогда не прощай врага, он как был врагом, так им и останется."
288,"Бывает в жизни так тоскливо, что даже чай не лезет в глотку. А помогает только пиво, которым запиваешь водку."
289,"Бывают минуты, когда кажется, что близких людей нет."
290,Хорошие мальчики нравятся только родителям. Вот пусть родители их и трахают
291,"Не требуй к себе уважения. Поступай так, чтобы тебя уважали!"
292,"где бы ты ни был, кем бы ты ни стал, не позорь тех, кто тебя воспитал…"
293,Улица – это сила!
294,"Братва, дороже всех блядей. Запомни брат. Не предавай друзей."
295,"Будет новый рассвет – будет море побед. И не верь никогда в то, что выхода нет."
296,"Имей ту девушку, о которой все мечтают, И не мечтай о той, которую все имеют."
297,"Я вырос улицей, я вырос ими, своей братвой доволен сильно и от души братве желаю я успехов в жизни и ума!"
298,"Я счастлив,потому что каждый день вижу улыбку своих родителей и слышу голос своих братьев!"
299,"Не зная дна, не суйся в воду. Храни друзей, цени свободу."
300,Запомни:Нет выхода только из гроба.
301,"Берегите отношения, чтобы потом не пришлось беречь воспоминания."
302,"Делай сегодня то, что другие не хотят — завтра будешь жить так, как другие не могут."
303,"Сила не в деньгах и не в оружие, сила в тебе, братьях и любви!"
304,"Никто не может дать тебе совет лучше, чем ты сам."
305,"Времена изменились, но вопросы решаются так же."
306,"Умей пережить ту минуту, когда кажется, что всё уже потеряно."
307,"Лучше быть одним, чем с кем попало…"
308,"Он хамил так, как будто у него в кармане лежала запасная челюсть"
309,"Не ври тому, кто тебе доверяет. Не доверяй тому, кто тебе врёт."
310,"Если ты дрался хоть раз в своей жизни, ставь лайк!"
311,"Начинай каждый день так, как будто он решающий."
312,"Выдержать можно все, но не предательство!"
313,"Тот, кто не понял твоего молчания, вряд ли поймет твои слова."
314,"Брат может не быть другом, но друг всегда брат"
315,Женщины как револьверы: опасны только в руках новичков.
316,Бросай … ревнуй … страдай … влюбляйся … Но никогда не унижайся !!!
317,"Статусы для вк для пацанов со смыслом — Если у парня нет мозгов, он дурак, если нет сердца — злодей, если нет желчи — тряпка."
318,"Ошибки — это доказательство того, что ты пытался."
319,"Мне без разницы – красные, черные, я всех одинаково бью"
320,"Это — холодный мир, детка, твоя любовь его не согреет."
321,"Спасибо моим врагам.Если бы не они, я бы не стал тем, кем стал."
322,"Мне всё равно, что думают другие. Это моя жизнь, и я буду жить красиво."
323,Не смог сегодня – не сможешь и завтра. Выдержал сегодня – выдержишь и завтра.
324,"Бей сильно,дыши ровно,отвечай за свои поступки и настаивай на своем."
325,Чтоб у нас все было и нам за это ничего не было…
326,Никогда не говори «никогда».
327,"Лучше верность без слов, чем измена с клятвой."
328,"Обидно когда два человека любят друг друга, но не могут быть вместе, потому что один из них дура."
329,"Он хамил так, как будто у него в кармане лежала запасная челюсть…"
330,"Сколько раз я удивлялся логике девушек… но записка «Ушла. Приду, когда вернусь» просто убила)"
331,"Бывает, что крест, поставленный на человеке, его единственный плюс…"
332,"Умей говорить в глаза, а не за спиной."
333,"Их девиз непобедим — возбудим и не дадим! Наш девиз еще мудрей — не дадут, возьмем бл****…"
334,"Кровь это не то, что течёт в твоих жилах. Это то, что брат отдаст за брата!!!!!!"
335,"Если смех продлевает жизнь, то моя компания бессмертна."
336,"Если девушка задает вопрос «как на личном?», значит ты ей небезразличен."
337,"Бывают моменты, когда безумно грустно и одиноко. и вроде бы есть кому позвонить, но понимаешь, что всем не до тебя."
338,Это не у меня нет девушки. Это ни у одной девушки нет меня!
339,"Дружба не услуга, за нее не благодарят."
340,Я сегодня не выспался… — А причина? — Причина тоже не выспалась…
341,"Мне без разницы – красные, черные, я всех одинаково бью…"
342,Вот смотрю я на тебя и думаю — еще выпить или ты мне уже нравишься…
343,"Если человек не тянется к тебе, лучше оставь его в покое."
344,Думал — любимая. Подсчитал — дорогая.
345,"Стремись к цели, но живи сегодняшним днем."
346,"Единственная девушка за которой я буду бегать, будет кричать убегая:» Пап догоняй!»."
347,Никакие деньги не заменят этого счастья.
348,"Пить водку, пиво, коньяк, кофе и курить в один день — это нормально. А вот воду в чайник нужно обязательно фильтровать, а то для здоровья хреново."
349,"Видишь этого парня? Он перестал принимать героин, а у тебя сука жрать к лету поменьше не получается!"
350,Счастье — это когда в доме нет больных. В тюрьме — нет родных. Среди друзей — нет гнилых.
351,Налево пойду — домой не попаду. Направо пойду — налево не успею.
352,С одной стороны ты красивая… А с другой? А с другой рожа.
353,"Не льстите себе, переспав с крутой фотомоделью. Может, ей просто интересно? Как это? С лохом?!»"
354,"Ненавижу это состояние,когда ночью лежишь и думаешь, думаешь, думаешь, думаешь."
355,"Живу с девушкой. Раньше всё валялось на своих местах, а теперь аккуратно сложено неизвестно где."
356,Невозможно нравиться всем подряд — все подряд не могут обладать безупречным вкусом.
357,"Ничего не боятся только лохи, реальные пацаны всегда на измене..."
358,"Пусть за меня бывает стыдно маме, но я – неубиваем."
359,"Господи, убереги меня от друзей, с врагами я сам справлюсь."
360,Ради успеха я положу всё кроме здоровья близких и братвы!
361,"Я там выжил, где замерзли мамонты."
362,"Пацаны, уважайте женщин! И я сейчас не о шкурах…"
363,"Парня должна украшать всего одна принцесса, а не овечье стадо."
364,"Не говорите мне слово «невозможно». Я не знаю, что оно обозначает."
365,"Мы не крутые, однако крутые к нам тянутся. Мы не являемся ворами в законе, однако люди с понятиями нас ценят. У нас нет оружия, но мы всегда опасны. Нас мало, но, когда мы едины, мы не победимы!"
366,Осуждаете меня за мой непростой характер? А как по-другому? Пацан без характера – тряпка.
367,"Самое приятное, когда на тебя хотят быть похожи ребята из твоего двора."
368,Всегда держи данное слово: это твоя цена.
369,"Честность и верность — дорогой подарок, которого не стоит ожидать от дешёвых людей."
370,"Я заботливый и добрый дома, и в этом также моя сила."
371,"Женщины бывают двух типов: хорошие и идеальные. Хорошие имеют большую Ж, а также маленькую П, хорошо умеют держать в руках Х. Ж — жилплощадь, П – это потребность, а Х — хозяйство. О чем подумали вы — это идеальная женщина."
372,"Не уверен – не обещай. Нет ничего хуже, чем быть треплом."
373,"Жизнь человеку один раз всего дается. Необходимо ее так прожить, чтобы там наверху офигели, сказав: «Круто! Стоит повторить!»"
374,"Всякий в состоянии огорчить реально действующего пацана. Важно вовремя извиниться, чтобы дольше ожидать свои скоропостижные похороны."
375,"Если станет в жизни туго, то поможет плечо друга!"
376,"Ненавижу пацанов, обижающих зря милых девушек кулаками, похабными словами или поведением. Грубят такие уникумы дамам от бессилия мужского и страха."
377,Кто готов ко всему — ни к чему не готовится.
378,Мужчины подвержены эмоциям. Пацаны иногда остро ощущают чувство голода.
379,"Никогда, ни при каких обстоятельствах нельзя опускать руки. Любые трудности - это не наказание за прошлое, а испытание ради будущего."
380,Секрет успешных семейных отношений элементарен. Когда пацан неправ – не признается. Если знает верное средство – промолчит.
381,"Если уже не за что держаться, держись молодцом."
382,"Я не брошу тебя никогда, буду рядом с тобою всегда, я в беде не оставлю клянусь, ты мой БРАТ и я этим горжусь!"
